country,Round,Date,Mixed Marriage,Leader at time,Leader Ethnicity,Wife,Wife's Ethnicity,Sources on Wife's Ethnicity,Second Wife,Second Wife's Ethnicity,Notes on Wives,,Opponent,Opponent Ethnicity,Opponent AfB Ethnic Code,Opponent AfB Ethnic Name,Opponent AfB Ethnic Code 2,Opponent Year,Source,Notes on Ethnicity Coding
benin,4,June 23 2008 to July 6 2008,1,Boni Yayi,Nago/Bariba-Peul,Chantal Boni (de Souza),Fon,ALME Dataset,,,,,Houngbedji,Goun,108,Goun,,2006,Baldwin,
benin,3,April 22 2005 to May 10 2005,1,Matthieu Kerekou,Bargu,Marguerite Kerekou,Fon,Claire's Beninois RA,,,,,Soglo,Fon,120,Fon,,"1996, 2001",Baldwin,
botswana,4,Sept 28 2008 to October 16 2008,.n,Ian Khama,Tswana (Bamangwato),.n,.n,.n,,,,,Moupo,Tswana/Mongwato,142,Mongwato,,2009,Baldwin and africanelections.tripod.com,Mongwato is a subgorup of Tswana
botswana,3,May 28 2005 to June 12 2005,1,Festus Mogae,Tswana,Barbara Mogae,Kalanga,Sunday Trust (Daily Trust),,,,,Moupo,Tswana/Mongwato,140,Setswana,,2004,Baldwin,Setswana is the name for the Tswana language
burkina faso,4,October 6 2008 to October 21 2008,1,Blaise Compaoré,Mossi,Chantal Compaoré (Terrasson),Ivorian,ALME Dataset says that Scarecrow says Ivorian and is more reliable; another source said that she was French,,,,,Ouedraogo,*Not 15%,,,,,Baldwin,
cape verde,4,No Codebook or Year Provided,.n,.n,.n,.n,.n,.n,,,,,.n,.n,,,,.n,.n,
cape verde,3,No Codebook or Year Provided,.n,.n,.n,.n,.n,.n,,,,,.n,.n,,,,.n,.n,
ghana,4,March 4 2008 to March 27 2008,0,John Kufuor,Ashanti,Theresa Kufuor (Mensah),Ashanti,ALME Dataset,,,,,Atta-Mills,Akan,260,Akan,,2004,Baldwin,
ghana,3,March 10 2005 to March 21 2005,0,John Kufuor,Ashanti,Theresa Kufuor (Mensah),Ashanti,ALME Dataset,,,,,Atta-Mills,Akan,180,Akan,,2004,Baldwin,
kenya,4,October 1 2008 to November 20 2008,0,Mwai Kibaki,Kikuyu (Nyeri),Lucy Kibaki (nee Muthoni),Kikuyu,Answers.com; ,Mary Wambui,Kikuyu,"Lucy Kibaki is from Mt. Kenya area, which means she is likely Kikuyu (though not definite). Her maiden name of Muthoni is also a Kikuyu name. I get the impression that Lucy is a Nyeri Kikuyu and Mary is a Kiambu Kikuyu - but I would need to dig more. ",,Kenyatta,Kikuyu,300,Kikuyu,,2007,Baldwin,
kenya,3,September 6 2005 to September 28 2005,0,Mwai Kibaki,Kikuyu (Nyeri),Lucy Kibaki (nee Muthoni),Kikuyu,Answers.com; ,Mary Wambui,Kikuyu,"Lucy Kibaki is from Mt. Kenya area, which means she is likely Kikuyu (though not definite). Her maiden name of Muthoni is also a Kikuyu name. I get the impression that Lucy is a Nyeri Kikuyu and Mary is a Kiambu Kikuyu - but I would need to dig more. ",,Kenyatta,Kikuyu,200,Kikuyu,,2003,Baldwin,
lesotho,4,October 11 2008 to November 12 2008,0,Pakalitha Mosisili,Sotho,Mathato Mosisili,Sotho,Africa News; ,,,"INFERENCE: 99.7% of Lesotho is Basotho (Sotho). She warns the country against being reliant on foreign donations, reminding them that basotho can give too (it seems like she's talking to an ingroup) and 99.7%... I don't find any evidence that she isn't native of Lesotho. ",,Manyeli,Sotho,,,,2007,Baldwin,"Sotho is an umbrella group, Afrobarometer records the subgroup ethnicities only"
lesotho,3,July 6 2007 to August 17 2007,0,Pakalitha Mosisili,Sotho,Mathato Mosisili,Sotho,Africa News; ,,,"INFERENCE: 99.7% of Lesotho is Basotho (Sotho). She warns the country against being reliant on foreign donations, reminding them that basotho can give too (it seems like she's talking to an ingroup) and 99.7%... I don't find any evidence that she isn't native of Lesotho. ",,Manyeli,Sotho,,,,2007,Baldwin,
liberia,4,December 9 2008 to February 8 2009,.n,Ellen Johnson Sirleaf,Gola-German,N/A - Divorced,.n,.n,,,,,Weah,Kru,390,Kru,,2006-2007,Baldwin,
madagascar,4,June 11 2008 to July 11 2008,.n,Marc Ravalomanana,Merina,Lalao Ravalomanana,Merina,,,,,,Lahiniriko,*Not 15%,,,,2007,Baldwin,
madagascar,3,May 19 2005 to June 28 2005,.n,Marc Ravalomanana,Merina,Lalao Ravalomanana,Merina,,,,,,Lahiniriko,*Not 15%,,,,2007,Baldwin,
